,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length
0,[10 13 16],682,I Know What You Did Last Summer (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BZDI4ODJlNGUtNjFiMy00ODgzLWIzYjgtMzgyZTljZDQ2NGZiXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0119345/?ref_=fn_al_tt_1,Four young friends bound by a tragic accident are reunited when they find themselves being stalked by a hook-wielding maniac in their small seaside town.,5.7,139K,['Jim Gillespie'],"['Lois Duncan', 'Kevin Williamson']","['Jennifer Love Hewitt', 'Sarah Michelle Gellar', 'Anne Heche', 'Ryan Phillippe', 'Freddie Prinze Jr.', 'Muse Watson', 'Bridgette Wilson-Sampras', 'Johnny Galecki', 'Stuart Greer', 'J. Don Ferguson', 'Deborah Hobart', 'Mary McMillan', ""Rasool J'Han"", 'Dan Albright', 'Lynda Clark', 'Shea Broom', 'John Bennes', 'Jennifer Bland']",R,1997,1h 41min
1,[1 3],768,Casper (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BZThhYTlhMDUtMDhjZi00MTljLTkwMDYtOGU3ZjVlMWE4NDk4XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0112642/?ref_=fn_al_tt_1,An afterlife therapist and his daughter meet a friendly young ghost when they move into a crumbling mansion in order to rid the premises of wicked spirits.,6.1,127K,['Brad Silberling'],"['Joseph Oriolo', 'Sherri Stoner', 'Deanna Oliver']","['Bill Pullman', 'Christina Ricci', 'Cathy Moriarty', 'Eric Idle', 'Chauncey Leopardi', 'Spencer Vrooman', 'Malachi Pearson', 'Ben Stein', 'Don Novello', 'Fred Rogers', 'Terry Murphy', 'Ernestine Mercer', 'Doug Bruckner', 'Joe Nipote', 'Joe Alaskey', 'Brad Garrett', 'John Kassir', 'Garette Ratliff Henson']",PG,1995,1h 40min
2,[ 9 16],1422,Suture (1993),https://images-na.ssl-images-amazon.com/images/M/MV5BOTc0ODlkMzEtNjE5My00ODA2LTg5ZjMtYWFjOTE1ZmNmMzk0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0108260/?ref_=fn_al_tt_1,"After his brother tries to kill him, a man survives only to find himself in another man's body.",6.6,1.9K,"['Scott McGehee', 'David Siegel']","['Scott McGehee', 'David Siegel']","['Dennis Haysbert', 'Mel Harris', 'Sab Shimono', 'Dina Merrill', 'Michael Harris', 'David Graf', 'Fran Ryan', 'John Ingle', 'Sanford Gibbons', 'Mark DeMichele', 'Sandra Ellis Lafferty', 'Capri Darling', 'Carol Kiernan', 'Laura Groppe', 'Mel Coleman', 'Lon Carli', 'Ann Van Wey', 'Sam Smiley']",Not Rated,1993,1h 36min
3,[7],454,Bastard Out of Carolina (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMjA5MDkyMzU1N15BMl5BanBnXkFtZTcwMTk5NzMyMQ@@..jpg,http://www.imdb.com/title/tt0115633/?ref_=fn_al_tt_1,A mother and daughter find their lives adversely affected when a new man enters the picture. Will their family ever be what they expect?,7.4,4.3K,['Anjelica Huston'],"['Dorothy Allison', 'Anne Meredith']","['Jennifer Jason Leigh', 'Ron Eldard', 'Glenne Headly', 'Lyle Lovett', 'Jena Malone', 'Dermot Mulroney', 'Christina Ricci', 'Michael Rooker', 'Diana Scarwid', 'Susan Traylor', 'Grace Zabriskie', 'Richard Todd Sullivan', 'Pat Hingle', 'Lindley Mayer', 'Jamison Stewart', 'Timothy Stewart', 'Kelsey Elizabeth Boulware', 'Jeffrey Pillars']",R,1996,1h 38min
4,[ 0  1 16],930,Chain Reaction (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BZTkzZmQxZmQtZmJkMS00YmJlLWI0YmItMjcwYzBhM2E3NGQzXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,http://www.imdb.com/title/tt0115857/?ref_=fn_al_tt_1,Two researchers in a green alternative energy project are put on the run when they are framed for murder and treason.,5.7,51K,['Andrew Davis'],"['Arne Schmidt', 'Rick Seaman', 'Josh Friedman']","['Keanu Reeves', 'Morgan Freeman', 'Rachel Weisz', 'Fred Ward', 'Kevin Dunn', 'Brian Cox', 'Joanna Cassidy', 'Chelcie Ross', 'Nicholas Rudall', 'Tzi Ma', 'Krzysztof Pieczynski', 'Julie Pearl', 'Godfrey', 'Gene Barge', 'Nathan Davis', 'Aaron Williams', 'Daniel H. Friedman', 'Johnny Lee Davenport']",PG-13,1996,1h 47min
5,[7],1224,"Scout, The (1994)",https://images-na.ssl-images-amazon.com/images/M/MV5BYTllMzNmNzItN2IzNC00YjhmLThiMmItY2RmODBiMGE2NjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0111094/?ref_=fn_al_tt_1,The story of a baseball scout who discovers a talented but troubled baseball player.,5.4,6.3K,['Michael Ritchie'],"['Roger Angell', 'Andrew Bergman', 'Albert Brooks']","['Albert Brooks', 'Brendan Fraser', 'Dianne Wiest', 'Anne Twomey', 'Lane Smith', 'Michael Rapaport', 'Barry Shabaka Henley', 'John Capodice', 'Art Garfield', 'Louis Giovannetti', 'Stephen Demek', 'Ralph Drischell', 'Brett Rickaby', 'Jack Rader', 'Marcia Rodd', 'Steve Eastin', 'Lee Weaver', 'John LaMotta']",PG-13,1994,1h 41min
6,[19],621,"Davy Crockett, King of the Wild Frontier (1955)",https://images-na.ssl-images-amazon.com/images/M/MV5BZWY3MGVmM2YtYzkzYy00MjNmLTljMDctNDc5ZWUyNTM2OWU0XkEyXkFqcGdeQXVyMDUyOTUyNQ@@..jpg,http://www.imdb.com/title/tt0047977/?ref_=fn_al_tt_1,"American frontiersman Davy Crockett fights in the Creek Indian War, is elected to the U.S. Congress and fights for Texas at the Alamo.",7.0,4K,['Norman Foster'],['Thomas W. Blackburn'],"['Fess Parker', 'Buddy Ebsen', 'Basil Ruysdael', 'Hans Conried', 'William Bakewell', 'Kenneth Tobey', 'Pat Hogan', 'Helene Stanley', 'Nick Cravat', 'Don Megowan', 'Mike Mazurki', 'Jeff Thompson', 'Henry Joyner', 'Campbell Brown', 'Robert Booth', 'Eugene Brindel', 'Benjamin Hornbuckle', 'Jim Maddux']",Approved,1955,1h 33min
7,[ 0  4 18],80,Hot Shots! Part Deux (1993),https://images-na.ssl-images-amazon.com/images/M/MV5BZjU2ODlmZWMtODEwZS00NTQ0LTk1ZDYtYzk0ZjE3ZGZhMGM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0107144/?ref_=fn_al_tt_1,"""Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",6.6,88K,['Jim Abrahams'],"['Jim Abrahams', 'Pat Proft']","['Charlie Sheen', 'Lloyd Bridges', 'Valeria Golino', 'Richard Crenna', 'Brenda Bakke', 'Miguel Ferrer', 'Rowan Atkinson', 'Jerry Haleva', 'David Wohl', 'Mitchell Ryan', 'Michael Colyar', 'Ryan Stiles', 'Rosemary Johnston', 'Ben Lemon', 'Buck McDancer', 'Larry Lindsey', 'Ed Beheler', 'Daniel T. Healy']",PG-13,1993,1h 26min
8,[ 4 16],1670,Tainted (1998),https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3ODk4MzM2MF5BMl5BanBnXkFtZTgwMzE4MDU1NjE@..jpg,http://www.imdb.com/title/tt0128690/?ref_=fn_al_tt_1,A sarcastic comedy thriller about a vampire who sets out to infect the blood of a hospital and the twenty-something slackers who set out to stop him.,4.3,126,['Brian Evans'],['Sean Farley'],"['Jason Brouwer', 'T.J. Timon', 'Ronnie Walsh', 'Greg James', 'Stacey Murphy', 'Trish Stroh', 'Tuyen Cao', 'Kevin Joy', 'Sean Farley', 'Dean Chekvala', 'Carol Thoel', 'Edward Zeimis', 'Kristy Thoel', 'Robert St. Mary', 'Benedetto Sorrentino', 'Scott Clevenger', 'Tina Kapousis', 'Micheal Agrusso']",R,1998,1h 48min
9,[7],676,"Crucible, The (1996)",https://images-na.ssl-images-amazon.com/images/M/MV5BN2ZhOTQ5NGUtNDJiYy00ZTM5LWI5MDItNDI3OGZhYzlhZDRhXkEyXkFqcGdeQXVyNjUwNzk3NDc@..jpg,http://www.imdb.com/title/tt0115988/?ref_=fn_al_tt_1,A Salem resident attempts to frame her ex-lover's wife for being a witch in the middle of the 1692 witchcraft trials.,6.8,37K,['Nicholas Hytner'],['Arthur Miller'],"['Daniel Day-Lewis', 'Winona Ryder', 'Paul Scofield', 'Joan Allen', 'Bruce Davison', 'Rob Campbell', 'Jeffrey Jones', 'Peter Vaughan', 'Karron Graves', 'Charlayne Woodard', 'Frances Conroy', 'Elizabeth Lawrence', 'George Gaynes', 'Mary Pat Gleason', 'Robert Breuler', 'Rachael Bella', 'Ashley Peldon', 'Tom McDermott']",PG-13,1996,2h 4min
