,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length
0,[7],136,Mr. Smith Goes to Washington (1939),https://images-na.ssl-images-amazon.com/images/M/MV5BZTYwYjYxYzgtMDE1Ni00NzU4LWJlMTEtODQ5YmJmMGJhZjI5L2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@..jpg,http://www.imdb.com/title/tt0031679/?ref_=fn_al_tt_1,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries to forge ahead despite attacks on his character.",8.1,112K,['Frank Capra'],"['Sidney Buchman', 'Lewis R. Foster', 'Myles Connolly']","['James Stewart', 'Jean Arthur', 'Claude Rains', 'Edward Arnold', 'Guy Kibbee', 'Thomas Mitchell', 'Eugene Pallette', 'Beulah Bondi', 'H.B. Warner', 'Harry Carey', 'Astrid Allwyn', 'Ruth Donnelly', 'Grant Mitchell', 'Porter Hall', 'H.V. Kaltenborn', 'Charles Lane', 'Pierre Watkin', 'Dick Elliott']",Passed,1939,2h 9min
1,[ 7 18],180,Apocalypse Now (1979),https://images-na.ssl-images-amazon.com/images/M/MV5BMDg1MDgzMmQtNDhlYS00MzZiLTllZGItNzliZTE1ODBiZDQwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,http://www.imdb.com/title/tt0078788/?ref_=fn_al_tt_1,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,8.4,631K,['Francis Ford Coppola'],"['John Milius', 'Francis Ford Coppola', 'Michael Herr']","['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest', 'Sam Bottoms', 'Laurence Fishburne', 'Albert Hall', 'Harrison Ford', 'Dennis Hopper', 'G.D. Spradlin', 'Jerry Ziesmer', 'Scott Glenn', 'Bo Byers', 'James Keane', 'Kerry Rossall', 'Ron McQueen', 'Tom Mason', 'Cynthia Wood']",R,1979,2h 27min
2,[7],614,Giant (1956),https://images-na.ssl-images-amazon.com/images/M/MV5BYWQ3ZmZhMmQtODQyMS00Y2Q0LThlOTAtM2NiMDMyNDdlYmQ0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@..jpg,http://www.imdb.com/title/tt0049261/?ref_=fn_al_tt_1,Sprawling epic covering the life of a Texas cattle rancher and his family and associates.,7.6,37K,['George Stevens'],"['Edna Ferber', 'Fred Guiol', 'Ivan Moffat']","['Elizabeth Taylor', 'Rock Hudson', 'James Dean', 'Carroll Baker', 'Jane Withers', 'Chill Wills', 'Mercedes McCambridge', 'Dennis Hopper', 'Sal Mineo', 'Rod Taylor', 'Judith Evelyn', 'Earl Holliman', 'Robert Nichols', 'Paul Fix', 'Alexander Scourby', 'Fran Bennett', 'Charles Watts', 'Elsa Cárdenas']",G,1956,3h 21min
3,[7],1328,Of Love and Shadows (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BMTIwOTMxMjk4OV5BMl5BanBnXkFtZTcwMzUzODkyMQ@@..jpg,http://www.imdb.com/title/tt0110712/?ref_=fn_al_tt_1,"Chile 1973 is ruled by the dictator Pinochet. The wealthy don't see the violence, terror, executions etc. including Irene. She's engaged to an officer in the fascist military. She meets Francisco who opens her eyes to truth and love.",5.1,2.1K,['Betty Kaplan'],"['Isabel Allende', 'Donald Freed']","['Antonio Banderas', 'Jennifer Connelly', 'Stefania Sandrelli', 'Diego Wallraff', 'Camilo Gallardo', 'Patricio Contreras', 'Jorge Rivera López', 'Ángela Ragno', 'Alejandro Toccalino', 'Alfredo Martín', 'Ana Leza', 'Carmen Renard', 'Cesar Parlani', 'Claudio Ciacci', 'Daniel Alvarado', 'Darío Fernández', 'Dennis Dann', 'Diego Leske']",R,1994,1h 43min
4,[5 7],56,Pulp Fiction (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMTA5OTAzMl5BMl5BanBnXkFtZTgwNjA5MDc3NjE@..jpg,http://www.imdb.com/title/tt0110912/?ref_=fn_al_tt_1,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",8.9,1.9M,['Quentin Tarantino'],"['Quentin Tarantino', 'Roger Avary']","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis', 'Tim Roth', 'Amanda Plummer', 'Laura Lovelace', 'Phil LaMarr', 'Frank Whaley', 'Burr Steers', 'Ving Rhames', 'Paul Calderon', 'Bronagh Gallagher', 'Rosanna Arquette', 'Eric Stoltz', 'Jerome Patrick Hoban', 'Michael Gilden', 'Gary Shorelle']",R,1994,2h 34min
5,[ 0 16],144,Die Hard (1988),https://images-na.ssl-images-amazon.com/images/M/MV5BYmY2ZGEwMTYtNjBmZS00OGE4LWEyMmUtNjAwMWUxZjVmZTRiXkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,http://www.imdb.com/title/tt0095016/?ref_=fn_al_tt_1,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,8.2,823K,['John McTiernan'],"['Roderick Thorp', 'Jeb Stuart', 'Steven E. de Souza']","['Bruce Willis', 'Alan Rickman', 'Bonnie Bedelia', 'Reginald VelJohnson', 'Paul Gleason', ""De'voreaux White"", 'William Atherton', 'Hart Bochner', 'James Shigeta', 'Alexander Godunov', 'Bruno Doyon', 'Andreas Wisniewski', 'Clarence Gilyard Jr.', 'Joey Plewa', 'Lorenzo Caccialanza', 'Gérard Bonn', 'Dennis Hayden', 'Al Leong']",R,1988,2h 12min
6,[ 0  1  7 14],720,First Knight (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BOGUyZmJmM2MtMDNlZC00ZDU0LWIwODQtNGFmOWJjZjk5ZThhXkEyXkFqcGdeQXVyNjUwNzk3NDc@..jpg,http://www.imdb.com/title/tt0113071/?ref_=fn_al_tt_1,"Lancelot falls in love with Guinevere, who is due to be married to King Arthur. Meanwhile, a violent warlord tries to seize power from Arthur and his Knights of the Round Table.",6.0,71K,['Jerry Zucker'],"['Lorne Cameron', 'David Hoselton', 'William Nicholson']","['Sean Connery', 'Richard Gere', 'Julia Ormond', 'Ben Cross', 'Liam Cunningham', 'Christopher Villiers', 'Valentine Pelka', 'Colin McCormack', 'Ralph Ineson', 'John Gielgud', 'Stuart Bunce', 'Jane Robbins', 'Jean Marie Coffey', 'Paul Kynman', 'Tom Lucy', 'John Blakey', 'Robert Gwyn Davin', 'Sean Blowers']",PG-13,1995,2h 14min
7,[0 1 4 5],29,Batman Forever (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BNWY3M2I0YzItNzA1ZS00MzE3LThlYTEtMTg2YjNiOTYzODQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0112462/?ref_=fn_al_tt_1,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",5.4,242K,['Joel Schumacher'],"['Bob Kane', 'Lee Batchler', 'Janet Scott Batchler']","['Val Kilmer', 'Tommy Lee Jones', 'Jim Carrey', 'Nicole Kidman', ""Chris O'Donnell"", 'Michael Gough', 'Pat Hingle', 'Drew Barrymore', 'Debi Mazar', 'Elizabeth Sanders', 'Rene Auberjonois', 'Joe Grifasi', 'Philip Moon', 'Jessica Tuck', 'Dennis Paladino', 'Kimberly Scott', 'Michael Paul Chan', 'Jon Favreau']",PG-13,1995,2h 1min
8,[4],1494,"Mostro, Il (1994)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2ODAwNDc2NF5BMl5BanBnXkFtZTcwMDMyMzIyMQ@@..jpg,http://www.imdb.com/title/tt0110570/?ref_=fn_al_tt_1,"After a series of bizarre actions, Loris is mistaken for a serial killer. Jessica, a policewoman in undercover, will try to induce him to commit a murder.",7.4,10K,['Roberto Benigni'],"['Roberto Benigni', 'Vincenzo Cerami', 'Michel Blanc']","['Roberto Benigni', 'Michel Blanc', 'Nicoletta Braschi', 'Dominique Lavanant', 'Jean-Claude Brialy', 'Laurent Spielvogel', 'Ivano Marescotti', 'Franco Mescolini', 'Massimo Girotti', 'Luciana Palombi', 'Vittorio Amandola', 'Rita Di Lernia', 'Gennaro Morrone', 'Vincenzo Vitagliano', 'Giulio Turli', 'Flavio de Flavis', 'Roberto Corbiletto', 'Luisa Malcotti']",R,1994,1h 52min
9,[7],1583,"Invitation, The (Zaproszenie) (1986)",https://images-na.ssl-images-amazon.com/images/M/MV5BN2E3NjIwM2EtNzI3Zi00ZWMwLTliZjgtOWY1N2VlODQ0NjcyXkEyXkFqcGdeQXVyNjIxMzk1NA@@..jpg,http://www.imdb.com/title/tt0092281/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",5.9,9,['Wanda Jakubowska'],['Wanda Jakubowska'],"['Antonina Gordon-Górecka', 'Maria Probosz', 'Kazimierz Witkiewicz', 'Leszek Zentara', 'Wieslawa Mazurkiewicz', 'Ewa Jendrzejewska', 'Maria Nowotarska', 'Janusz Sykutera', 'Artur Barcis', 'Ewa Szykulska', 'Jan Krzyzanowski', 'Olga Bielska', 'Malgorzata Bury', 'Elzbieta Borkowska', 'Jacek Chmielnik', 'Boguslawa Czuprynówna', 'Jerzy Fedorowicz', 'Adam Fornal']",,1986,1h 32min
