,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length
0,[ 0  7 16],1559,Hostile Intentions (1994),"https://m.media-amazon.com/images/M/MV5BMTIyMjQ2NzMzNF5BMl5BanBnXkFtZTcwNDczNDcxMQ@@._V1_QL75_UX190_CR0,13,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTIyMjQ2NzMzNF5BMl5BanBnXkFtZTcwNDczNDcxMQ@@._V1_QL75_UX285_CR0,19,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTIyMjQ2NzMzNF5BMl5BanBnXkFtZTcwNDczNDcxMQ@@._V1_QL75_UX380_CR0,26,380,562_.jpg 380w",http://www.imdb.com/title/tt0110061/?ref_=fn_al_tt_1,"Three young American women have a wild drunken fling south of the border. They find some rough folks to party with at a Mexican mansion, a Mexican jail and the U.S.-Mexican border.",4.1,252,['Catherine Cyran'],['Catherine Cyran'],"['Tia Carrere', 'Rigg Kennedy', 'Lisa Dean Ryan', 'Tricia Leigh Fisher', 'Carlos Gómez', 'Roman Cisneros', 'Luis Antonio Ramos', 'Ramón Franco', 'Geoffrey Rivas', 'Christina Solis', 'Oscar Peralta', 'Romeo Fabian', 'Francisco Aragon', 'Martha Romo', 'Mark Adair-Rios', 'Yorgo Constantine', 'Kevin Stapleton', 'James Pickens Jr.']",R,1995,1h 30min
1,[7],1260,Total Eclipse (1995),"https://m.media-amazon.com/images/M/MV5BOTdiMDEyM2ItOWYzYS00OTM1LWFlYWEtZjdhNWNhNzZmNTQyXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_QL75_UX190_CR0,8,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BOTdiMDEyM2ItOWYzYS00OTM1LWFlYWEtZjdhNWNhNzZmNTQyXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_QL75_UX285_CR0,12,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BOTdiMDEyM2ItOWYzYS00OTM1LWFlYWEtZjdhNWNhNzZmNTQyXkEyXkFqcGdeQXVyMTIzMzQ1ODg4._V1_QL75_UX380_CR0,15,380,562_.jpg 380w",http://www.imdb.com/title/tt0114702/?ref_=fn_al_tt_1,"Young, wild poet Arthur Rimbaud and his mentor Paul Verlaine engage in a fierce, forbidden romance while feeling the effects of a hellish artistic lifestyle.",6.5,15K,['Agnieszka Holland'],['Christopher Hampton'],"['Leonardo DiCaprio', 'David Thewlis', 'Romane Bohringer', 'Dominique Blanc', 'Félicie Pasotti', 'Nita Klein', 'James Thierrée', 'Emmanuelle Oppo', 'Denise Chalem', 'Andrzej Seweryn', 'Christopher Thompson', 'Bruce Van Barthold', 'Christopher Chaplin', 'Christopher Hampton', 'Mathias Jung', 'Kettly Noël', 'Cheb Han', 'Aza Declercq']",R,1995,1h 51min
2,[16],984,Shadow Conspiracy (1997),"https://m.media-amazon.com/images/M/MV5BNWUwNWVlMzktMTg2YS00MzJiLTgzZjctMDY3MmJmM2M1MTIxXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNWUwNWVlMzktMTg2YS00MzJiLTgzZjctMDY3MmJmM2M1MTIxXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNWUwNWVlMzktMTg2YS00MzJiLTgzZjctMDY3MmJmM2M1MTIxXkEyXkFqcGdeQXVyNDAxNjkxNjQ@._V1_QL75_UX380_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0120107/?ref_=fn_al_tt_1,"Bishop, trusted advisor to the president, has shots fired at him when Pachenko comes to him about a traitor in highest level of government. He gets away from the cold blooded assassin twice. Will he find the traitor before getting killed?",4.9,4.7K,['George P. Cosmatos'],"['Adi Hasak', 'Ric Gibbs']","['Charlie Sheen', 'Donald Sutherland', 'Linda Hamilton', 'Stephen Lang', 'Ben Gazzara', 'Nicholas Turturro', 'Stanley Anderson', 'Theodore Bikel', 'Charles Cioffi', 'Paul Gleason', ""Terry O'Quinn"", 'Sam Waterston', 'Gore Vidal', 'Henry Strozier', 'Dey Young', 'Regi Davis', 'Antonio Lewis Todd', 'Johnny Newman']",R,1997,1h 43min
3,[ 0  1 14 15 18],181,Return of the Jedi (1983),"https://m.media-amazon.com/images/M/MV5BMTQ2YTE0MmItODU3MC00MTQxLTg5NzQtYmIyZTVhOGQ2NjYwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_QL75_UY281_CR14,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTQ2YTE0MmItODU3MC00MTQxLTg5NzQtYmIyZTVhOGQ2NjYwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_QL75_UY422_CR21,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTQ2YTE0MmItODU3MC00MTQxLTg5NzQtYmIyZTVhOGQ2NjYwXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_QL75_UY562_CR28,0,380,562_.jpg 380w",http://www.imdb.com/title/tt2301123/?ref_=fn_al_tt_1,"With the rise of the empire, the rebels are driven deep into hiding. The rebels risk all with one last strike. Is it redemption for the freedom of the galaxy or manipulation by the emperor himself which may lead to their destruction.",8.1,511,['Peter Ross-Murray'],[''],['Peter Ross-Murray'],,Video Game,1983
4,[4],1249,For Love or Money (1993),"https://m.media-amazon.com/images/M/MV5BYjg1NGE4YjQtNGU3Yi00ZWJiLWFkZGYtY2Y2YTE0Njc3YTdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY281_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYjg1NGE4YjQtNGU3Yi00ZWJiLWFkZGYtY2Y2YTE0Njc3YTdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY422_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYjg1NGE4YjQtNGU3Yi00ZWJiLWFkZGYtY2Y2YTE0Njc3YTdiXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_QL75_UY562_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0106941/?ref_=fn_al_tt_1,"Doug's a concierge at a luxury hotel on Manhattan. He saves all his tips towards his plan for a hotel. A potential investor seduces the girl, Doug loves, with false promises of leaving his wife. Doug's dilemma: hotel project or girl?",6.2,14K,['Barry Sonnenfeld'],"['Mark Rosenthal', 'Lawrence Konner']","['Michael J. Fox', 'Gabrielle Anwar', 'Anthony Higgins', 'Michael Tucker', 'Bob Balaban', 'Isaac Mizrahi', 'Patrick Breen', 'Udo Kier', 'Simon Jones', 'Dianne Brill', 'Dan Hedaya', 'Susan Blommaert', 'Fyvush Finkel', 'Mike Moyer', 'Saverio Guerra', 'Daniel Hagen', 'LaChanze', 'Paula Laurence']",PG,1993,1h 36min
5,[7],1382,"Bonheur, Le (1965)","https://m.media-amazon.com/images/M/MV5BZDJjNGI5ODUtZjgzMS00MzkzLWIyMzMtNTJiMGNmMmQzNWUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR11,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZDJjNGI5ODUtZjgzMS00MzkzLWIyMzMtNTJiMGNmMmQzNWUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY422_CR16,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZDJjNGI5ODUtZjgzMS00MzkzLWIyMzMtNTJiMGNmMmQzNWUxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY562_CR21,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0058985/?ref_=fn_al_tt_1,"François, a young carpenter, lives a happy, uncomplicated life with his wife Thérèse and their two small children. One day he meets Emilie, a clerk in the local post office.",7.6,6.9K,['Agnès Varda'],['Agnès Varda'],"['Jean-Claude Drouot', 'Marie-France Boyer', 'Marcelle Faure-Bertin', 'Manon Lanclos', 'Sylvia Saurel', 'Marc Eyraud', 'Christian Riehl', 'Paul Vecchiali', 'Yvonne Dany', 'Claire Drouot', 'Olivier Drouot', 'Sandrine Drouot']",Not Rated,1965,1h 20min
6,[14],870,Touch (1997),"https://m.media-amazon.com/images/M/MV5BYzJiMTNjOTItZGRlMy00NzRiLTkyYzUtZDBkNWEzODliNDFkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UY281_CR92,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BYzJiMTNjOTItZGRlMy00NzRiLTkyYzUtZDBkNWEzODliNDFkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UY422_CR137,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BYzJiMTNjOTItZGRlMy00NzRiLTkyYzUtZDBkNWEzODliNDFkXkEyXkFqcGdeQXVyNDkzNTM2ODg@._V1_QL75_UY562_CR183,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0120357/?ref_=fn_al_tt_1,"At the discovery of his ability to work miracles, Juvenal becomes a media sensation, but now he's prone to those who want to exploit him.",5.6,2.5K,['Paul Schrader'],"['Elmore Leonard', 'Paul Schrader']","['Bridget Fonda', 'Christopher Walken', 'Skeet Ulrich', 'LL Cool J', 'Gina Gershon', 'Conchata Ferrell', 'John Doe', 'María Celedonio', 'Chris Hogan', 'Anthony Zerbe', 'William Newman', 'Tom Arnold', 'Breckin Meyer', ""Matt O'Toole"", 'Richard Fancy', 'Tamlyn Tomita', 'Don Novello', 'Mason Adams']",R,1997,1h 36min
7,[ 7 12],289,Evita (1996),"https://m.media-amazon.com/images/M/MV5BMDNhZGZiMzYtNzkxNy00MGE0LWE4Y2QtOGIwOTM3ZmY5M2QwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMDNhZGZiMzYtNzkxNy00MGE0LWE4Y2QtOGIwOTM3ZmY5M2QwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMDNhZGZiMzYtNzkxNy00MGE0LWE4Y2QtOGIwOTM3ZmY5M2QwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt0116250/?ref_=fn_al_tt_1,"The hit musical based on the life of Eva Perón (Evita Duarte), a B-picture Argentinian actress who eventually became the wife of Argentinian president Juan Domingo Perón, and the most beloved and hated woman in Argentina.",6.3,35K,['Alan Parker'],"['Tim Rice', 'Alan Parker', 'Oliver Stone']","['Madonna', 'Jonathan Pryce', 'Antonio Banderas', 'Jimmy Nail', 'Victoria Sus', 'Julian Littman', 'Olga Merediz', 'Laura Pallas', 'Julia Worsley', 'María Luján Hidalgo', 'Servando Villamil', 'Andrea Corr', 'Peter Polycarpou', 'Gary Brooker', 'Maite Yerro', 'Adrià Collado', 'Gabriel Kraisman', 'Martin Drogo']",PG,1996,2h 15min
8,[ 5 16],1143,Hard Eight (1996),"https://m.media-amazon.com/images/M/MV5BMTY2ZWQ3NTctMjJiNy00Y2RlLWEyM2MtNTBmNjAxMWJhZTFmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMTY2ZWQ3NTctMjJiNy00Y2RlLWEyM2MtNTBmNjAxMWJhZTFmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX285_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMTY2ZWQ3NTctMjJiNy00Y2RlLWEyM2MtNTBmNjAxMWJhZTFmXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX380_CR0,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0119256/?ref_=fn_al_tt_1,Professional gambler Sydney teaches John the tricks of the trade. John does well until he falls for cocktail waitress Clementine.,7.2,47K,['Paul Thomas Anderson'],['Paul Thomas Anderson'],"['Philip Baker Hall', 'John C. Reilly', 'Gwyneth Paltrow', 'Samuel L. Jackson', 'F. William Parker', 'Philip Seymour Hoffman', 'Nathanael Cooper', 'Wynn White', 'Robert Ridgely', 'Kathleen Campbell', 'Michael J. Rowe', ""Peter D'Allesandro"", 'Steve Blane', 'Xaleese', 'Melora Walters', 'Jean Langer', 'Andy Breen', 'Renee Breen']",R,1996,1h 41min
9,[4],901,Mr. Magoo (1997),"https://m.media-amazon.com/images/M/MV5BODFiOWY2OTctMzBlNi00MjhhLTg4MWQtMTI5YTUzZTI2N2E1XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BODFiOWY2OTctMzBlNi00MjhhLTg4MWQtMTI5YTUzZTI2N2E1XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BODFiOWY2OTctMzBlNi00MjhhLTg4MWQtMTI5YTUzZTI2N2E1XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0119718/?ref_=fn_al_tt_1,The myopic millionaire defeats jewel smugglers in his usual bumbling manner.,4.0,15K,['Stanley Tong'],"['Pat Proft', 'Tom Sherohman']","['Leslie Nielsen', 'Kelly Lynch', 'Matt Keeslar', 'Nick Chinlund', 'Stephen Tobolowsky', 'Ernie Hudson', 'Jennifer Garner', 'Malcolm McDowell', 'Miguel Ferrer', 'L. Harvey Gold', 'Art Irizawa', 'John Tierney', 'Terence Kelly', 'Rick Burgess', 'Jerry Wasserman', 'Bill Dow', 'Frank C. Turner', 'Monique Rusu']",PG,1997,1h 27min
